
CODIGO_EMPLEADO  EMPLEADO                        CARGO               TIENDA                                      CANTIDAD_VENTAS_ATENDIDAS  TOTAL_FACTURADO
---------------  ------------------------------  ------------------  ------------------------------------------  -------------------------  ---------------
             19  Vivian Ortiz                    Cajero              Comercial La Estrella Chimaltenango                                36         45787.12
             58  Fernando Morales                Gerente de tienda   Comercial La Estrella Zacapa                                       29         37370.63
             20  Claudia Castillo                Supervisor          Comercial La Estrella Chimaltenango                                27         33411.29
             18  Laura Rodriguez                 Gerente de tienda   Comercial La Estrella Chimaltenango                                28         32598.95
             55  Mario Garcia                    Gerente de tienda   Comercial La Estrella Puerto Barrios                               29         32545.45
             67  Silvia Castillo                 Vendedor            Comercial La Estrella Ciudad de Mexico                             22         29954.70
             34  Manuel Ortiz                    Vendedor            Comercial La Estrella Coatepeque                                   20         27554.63
              2  Claudia Aguilar                 Cajero              Comercial La Estrella Zona 1                                       23         26455.67
             59  Victor Diaz                     Vendedor            Comercial La Estrella Zacapa                                       25         25822.75
             83  Estuardo Jimenez                Vendedor            Comercial La Estrella San Salvador                                 20         25725.72
             57  Mario Chavez                    Cajero              Comercial La Estrella Puerto Barrios                               26         25489.94
             39  Alejandro Castillo              Vendedor            Comercial La Estrella Mazatenango                                  16         24296.38
             17  Ana Vasquez                     Vendedor            Comercial La Estrella Antigua                                      27         23878.95
             66  Andrea Sanchez                  Gerente de tienda   Comercial La Estrella Ciudad de Mexico                             18         23604.45
             79  Roberto Lopez                   Supervisor          Comercial La Estrella Monterrey                                    23         23286.36
             43  Miguel Reyes                    Cajero              Comercial La Estrella Huehuetenango                                16         22976.02
             61  Carlos Reyes                    Gerente de tienda   Comercial La Estrella Jutiapa                                      17         22947.12
             14  Patricia Lopez                  Gerente de tienda   Comercial La Estrella Antigua                                      19         22884.34
             60  Sofia Rodriguez                 Supervisor          Comercial La Estrella Zacapa                                       20         22496.44
             11  Ana Chavez                      Vendedor            Comercial La Estrella Villa Nueva                                  17         22298.76
             75  Paola Gonzalez                  Cajero              Comercial La Estrella Monterrey                                    17         22105.92
             33  Maria Hernandez                 Cajero              Comercial La Estrella Coatepeque                                   14         22046.25
              5  Diego Chavez                    Gerente de tienda   Comercial La Estrella Mixco                                        17         21440.01
             56  Jose Garcia                     Vendedor            Comercial La Estrella Puerto Barrios                               22         21148.02
             22  Fernando Castillo               Cajero              Comercial La Estrella Escuintla                                    21         20683.18
             81  Paola Cruz                      Cajero              Comercial La Estrella San Salvador                                 21         20517.84
             64  Cristina Rodriguez              Vendedor            Comercial La Estrella Jutiapa                                      14         20013.48
             15  Alejandra Flores                Cajero              Comercial La Estrella Antigua                                      21         20003.83
              9  Silvia Ramirez                  Gerente de tienda   Comercial La Estrella Villa Nueva                                  16         19961.03
              3  Carlos Mendoza                  Vendedor            Comercial La Estrella Zona 1                                       17         19849.33
             62  Paola Reyes                     Cajero              Comercial La Estrella Jutiapa                                      21         19314.42
             88  Alejandro Cruz                  Cajero              Comercial La Estrella Santa Ana                                    19         19150.76
             23  Miguel Gonzalez                 Vendedor            Comercial La Estrella Escuintla                                    18         18891.94
              7  Laura Sanchez                   Cajero              Comercial La Estrella Mixco                                        16         18599.58
