
CODIGO_CLIENTE  CLIENTE                         MUNICIPIO_RESIDENCIA          CANTIDAD_VENTAS_PAGADAS  MONTO_TOTAL_COMPRADO
--------------  ------------------------------  ----------------------------  -----------------------  --------------------
           183  Estuardo Chavez                 Guadalajara                                         7              12032.41
           104  Ricardo Morales                 Chimaltenango                                       7              11482.98
           271  Jose Perez                      San Pedro Pinula                                    7              10659.32
           284  Sergio Perez                    Cholula                                             7              10566.61
            23  Oscar Cruz                      Zacapa                                              5              10216.85
           240  Claudia Chavez                  Izalco                                              6               9784.86
           165  Monica Sanchez                  Quetzaltenango                                      5               9663.42
           258  Silvia Gonzalez                 Toluca                                              6               9324.62
           251  Luis Lopez                      Rabinal                                             5               8822.98
            51  Lucia Gomez                     Chiquimula                                          6               8786.81
           212  Alejandro Lopez                 Chalchuapa                                          8               8697.39
            52  Miguel Flores                   Salama                                              7               8425.55
           140  Maria Aguilar                   Coyoacan                                            5               8360.99
           273  Sergio Gonzalez                 Guatemala                                           5               8321.29
           204  Manuel Ramirez                  Chichicastenango                                    7               8196.96
            79  Ricardo Gonzalez                Monterrey                                           4               8109.36
            81  Luis Castillo                   Naucalpan                                           7               7972.04
           112  Laura Chavez                    Escuintla                                           6               7936.92
           151  Victor Martinez                 San Miguel                                          9               7852.48
           114  Diego Vasquez                   Santa Tecla                                         7               7850.59
            18  Fernando Cruz                   Zapopan                                             5               7765.31
           126  Mario Ramirez                   San Benito                                          5               7720.34
           294  Daniela Gomez                   Toluca                                              9               7642.48
           128  Lucia Vasquez                   Benito Juarez                                       4               7434.31
           191  Monica Martinez                 Chiquimulilla                                       5               7432.56
           150  Julio Morales                   Tecpan Guatemala                                    7               7355.59
           246  Sofia Jimenez                   Santa Ana                                           6               7281.54
           198  Julio Castillo                  Chiquimulilla                                       6               7248.38
           218  Miguel Jimenez                  Antiguo Cuscatlan                                   5               7235.87
           261  Patricia Diaz                   Santa Cruz del Quiche                               5               7228.25
            72  Alejandra Mendoza               Salcaja                                             6               7203.72
           268  Maria Hernandez                 Antigua Guatemala                                   4               7157.59
            67  Pedro Garcia                    Tecpan Guatemala                                    7               7145.99
            64  Oscar Aguilar                   Iztapalapa                                          5               7057.82
           280  Pedro Ramirez                   Sanarate                                            4               7057.45
           275  Karla Morales                   Panajachel                                          6               7050.94
           197  Patricia Ortiz                  Santa Cruz del Quiche                               4               7037.59
           257  Fernando Lopez                  Retalhuleu                                          6               7036.73
           138  Alejandro Garcia                Chalchuapa                                          6               7006.35
           120  Ana Sanchez                     Jalapa                                              5               6831.48
           221  Oscar Flores                    San Salvador                                        7               6764.68
           170  Paola Ortiz                     Esquipulas                                          6               6597.62
           254  Sofia Reyes                     Chiquimulilla                                       7               6567.28
            95  Mario Garcia                    Barberena                                           4               6549.01
           195  Paola Cruz                      Malacatan                                           4               6491.26
            91  Patricia Gomez                  Jocotenango                                         5               6490.00
           250  Carlos Aguilar                  San Marcos                                          6               6459.95
           148  Mario Ortiz                     Esquipulas                                          4               6379.91
            35  Paola Chavez                    Cuilapa                                             5               6376.01
            26  Paola Mendoza                   Santiago Atitlan                                    4               6364.97
           131  Estuardo Jimenez                San Salvador                                        3               6307.32
            98  Vivian Ramirez                  Zapopan                                             5               6177.20
           127  Daniela Diaz                    Soyapango                                           5               6094.87
           228  Paola Mendoza                   Tecpan Guatemala                                    6               5873.48
           164  Silvia Reyes                    Sanarate                                            3               5818.65
           108  Alejandro Martinez              Santa Lucia Cotzumalguapa                           4               5787.99
            16  Ricardo Mendoza                 Panajachel                                          6               5777.77
           231  Mario Lopez                     Jalapa                                              6               5699.08
           234  Fernando Martinez               San Nicolas de los Garza                            4               5606.85
           300  Patricia Rodriguez              Antigua Guatemala                                   3               5604.74
           139  Diego Martinez                  Puerto Barrios                                      4               5587.34
           199  Sofia Martinez                  Coban                                               8               5538.35
           236  Sofia Chavez                    Zacapa                                              5               5501.80
            96  Ana Rodriguez                   Puebla de Zaragoza                                  4               5474.74
           158  Maria Mendoza                   Coyoacan                                            5               5436.30
            94  Sergio Gonzalez                 Sonsonate                                           5               5418.12
            76  Luis Rodriguez                  Livingston                                          7               5402.96
             5  Monica Reyes                    San Nicolas de los Garza                            3               5376.65
           196  Sergio Gonzalez                 Esquipulas                                          4               5326.83
           243  Pedro Reyes                     Antigua Guatemala                                   5               5314.77
            89  Sergio Castillo                 San Pedro Carcha                                    4               5301.82
           146  Pedro Sanchez                   Monterrey                                           3               5298.07
           277  Carlos Vasquez                  Rio Hondo                                           5               5294.15
           237  Pedro Martinez                  Chiquimula                                          4               5225.36
            58  Lucia Chavez                    Sanarate                                            6               5214.09
           222  Rosa Jimenez                    Livingston                                          6               5165.38
            40  Alejandra Hernandez             Chalchuapa                                          3               5133.95
            10  Roberto Sanchez                 Guastatoya                                          5               5096.21
            61  Maria Reyes                     San Nicolas de los Garza                            4               5090.10
           102  Miguel Mendoza                  Tacana                                              2               5020.98
            24  Patricia Cruz                   Chiquimulilla                                       5               4894.43
           209  Victor Gomez                    Coatepeque                                          8               4880.98
            73  Alejandra Perez                 Puerto Barrios                                      5               4821.52
            57  Oscar Gomez                     Tacana                                              3               4762.57
           223  Miguel Garcia                   Rabinal                                             4               4735.59
            37  Luis Gonzalez                   San Jose Pinula                                     4               4732.48
           174  Cristina Garcia                 San Cristobal Totonicapan                           3               4728.86
            31  Alejandra Hernandez             Barberena                                           5               4715.91
            13  Pedro Castillo                  Mixco                                               5               4667.69
           179  Daniela Aguilar                 San Pedro Pinula                                    3               4662.88
           152  Estuardo Mendoza                Escuintla                                           5               4661.37
           192  Cristina Morales                San Pedro Carcha                                    2               4660.30
           187  Fernando Jimenez                Naucalpan                                           3               4654.56
           186  Laura Martinez                  Barberena                                           4               4633.33
           107  Pedro Perez                     Santa Elena                                         4               4632.98
            38  Claudia Ortiz                   Santa Tecla                                         3               4614.17
            54  Vivian Martinez                 Asuncion Mita                                       3               4602.52
           109  Julio Cruz                      Coban                                               4               4602.22
            12  Andrea Mendoza                  Izalco                                              4               4600.95
           227  Sofia Castillo                  Quetzaltenango                                      6               4577.68
             7  Jorge Reyes                     Guadalajara                                         5               4484.64
           278  Pedro Gonzalez                  Rabinal                                             5               4477.48
            25  Ana Ortiz                       Solola                                              2               4474.37
           105  Silvia Perez                    Rabinal                                             3               4427.09
           171  Luis Aguilar                    Puerto San Jose                                     6               4401.77
            22  Lucia Chavez                    San Salvador                                        7               4386.20
           166  Estuardo Lopez                  Sanarate                                            4               4357.21
           233  Claudia Castillo                Flores                                              4               4338.74
            34  Manuel Chavez                   Asuncion Mita                                       3               4272.49
           111  Paola Castillo                  Chinameca                                           3               4270.04
           124  Cristina Lopez                  Jutiapa                                             3               4253.57
            56  Karla Mendoza                   Rio Hondo                                           3               4174.69
           115  Daniela Rodriguez               Asuncion Mita                                       3               4160.08
           193  Laura Castillo                  Monterrey                                           4               4155.54
           291  Luis Rodriguez                  San Martin Jilotepeque                              2               4049.12
           172  Alejandro Rodriguez             Puerto San Jose                                     4               4006.67
           281  Julio Perez                     San Martin Jilotepeque                              5               3966.64
            15  Maria Chavez                    Mixco                                               4               3893.44
           269  Cristina Ortiz                  Jocotenango                                         2               3872.90
           155  Sofia Gonzalez                  Santa Elena                                         4               3813.99
           219  Miguel Martinez                 Rio Hondo                                           4               3805.82
           202  Andrea Rodriguez                San Martin Jilotepeque                              4               3799.09
            50  Karla Martinez                  Coatepeque                                          3               3756.88
           134  Alejandra Perez                 Santa Lucia Cotzumalguapa                           3               3710.68
           241  Claudia Chavez                  Tecpan Guatemala                                    4               3681.39
            85  Silvia Aguilar                  Coban                                               3               3666.00
            65  Paola Morales                   Sonsonate                                           4               3652.70
           214  Gabriela Diaz                   Rabinal                                             4               3621.17
           267  Laura Martinez                  Antiguo Cuscatlan                                   3               3595.37
           129  Jorge Gonzalez                  Soyapango                                           3               3592.33
           173  Daniela Jimenez                 Salama                                              3               3581.06
             8  Miguel Castillo                 Iztapalapa                                          3               3549.26
           226  Estuardo Chavez                 Guadalajara                                         2               3547.12
