
  NUMERO_VENTA  FECHA_VENT  TIENDA                                      CLIENTE                          TOTAL_VENTA  TOTAL_PAGADO  DIFERENCIA_PENDIENTE
--------------  ----------  ------------------------------------------  ------------------------------  ------------  ------------  --------------------
           658  2025-01-06  Comercial La Estrella Coatepeque            Sergio Perez                         4172.60          0.00               4172.60
          1243  2026-05-13  Comercial La Estrella Coatepeque            Alejandro Perez                      3457.41          0.00               3457.41
           202  2025-07-09  Comercial La Estrella San Salvador          Monica Martinez                      3377.16          0.00               3377.16
           683  2025-09-14  Comercial La Estrella Coatepeque            Silvia Perez                         3323.40          0.00               3323.40
          1015  2025-10-13  Comercial La Estrella Ciudad de Mexico      Julio Morales                        3303.49          0.00               3303.49
          1310  2026-03-24  Comercial La Estrella Coatepeque            Fernando Hernandez                   3200.40          0.00               3200.40
           143  2026-01-20  Comercial La Estrella Xela                  Jose Perez                           2795.81          0.00               2795.81
          1432  2026-08-05  Comercial La Estrella Chimaltenango         Maria Lopez                          2677.36          0.00               2677.36
           765  2026-01-14  Comercial La Estrella Antigua               Jorge Rodriguez                      2658.20          0.00               2658.20
           327  2025-02-03  Comercial La Estrella Jutiapa               Mario Jimenez                        2632.13          0.00               2632.13
          1497  2025-02-16  Comercial La Estrella Santa Ana             Luis Rodriguez                       2615.01          0.00               2615.01
           295  2026-03-22  Comercial La Estrella Santa Ana             Ana Flores                           2603.22          0.00               2603.22
           220  2025-02-28  Comercial La Estrella Santa Ana             Miguel Martinez                      2599.25          0.00               2599.25
          1061  2025-06-24  Comercial La Estrella Monterrey             Julio Martinez                       2547.62          0.00               2547.62
          1435  2026-02-02  Comercial La Estrella Guadalajara           Paola Morales                        2467.82          0.00               2467.82
           416  2025-04-04  Comercial La Estrella Ciudad de Mexico      Laura Martinez                       2367.62          0.00               2367.62
          1137  2025-05-09  Comercial La Estrella Huehuetenango         Alejandra Hernandez                  2361.32          0.00               2361.32
          1450  2025-06-05  Comercial La Estrella Zona 1                Mario Jimenez                        2290.52          0.00               2290.52
           122  2025-08-06  Comercial La Estrella Coban                 Andrea Gonzalez                      2258.83          0.00               2258.83
            38  2025-12-23  Comercial La Estrella Zacapa                Pedro Reyes                          2239.96          0.00               2239.96
           337  2026-01-08  Comercial La Estrella Guadalajara           Ricardo Morales                      2227.45          0.00               2227.45
           674  2025-07-20  Comercial La Estrella Zacapa                Maria Hernandez                      2205.07          0.00               2205.07
           196  2026-08-13  Comercial La Estrella Puerto Barrios        Sergio Diaz                          2204.87          0.00               2204.87
          1130  2025-01-31  Comercial La Estrella San Salvador          Ana Rodriguez                        2203.14          0.00               2203.14
          1456  2025-05-04  Comercial La Estrella Ciudad de Mexico      Miguel Martinez                      2179.39          0.00               2179.39
          1040  2025-10-04  Comercial La Estrella Santa Ana             Claudia Castillo                     2156.13          0.00               2156.13
           242  2026-06-15  Comercial La Estrella Coban                 Luis Chavez                          2155.61          0.00               2155.61
           100  2026-07-04  Comercial La Estrella Monterrey             Sergio Gonzalez                      2819.16        711.42               2107.74
          1111  2026-01-09  Comercial La Estrella Villa Nueva           Sergio Morales                       2102.24          0.00               2102.24
           364  2026-01-02  Comercial La Estrella Xela                  Luis Lopez                           2097.42          0.00               2097.42
          1099  2026-08-27  Comercial La Estrella Antigua               Lucia Gomez                          2092.96          0.00               2092.96
          1249  2026-04-24  Comercial La Estrella Jutiapa               Julio Diaz                           2091.24          0.00               2091.24
          1014  2025-12-02  Comercial La Estrella Zacapa                Julio Cruz                           2089.44          0.00               2089.44
          1335  2025-07-03  Comercial La Estrella Monterrey             Roberto Castillo                     2088.58          0.00               2088.58
           136  2025-06-07  Comercial La Estrella Mixco                 Claudia Aguilar                      2082.96          0.00               2082.96
